ModelName,DS-5314
FileVersion,1
Acquisition Time,2016/12/08 17:08:44
Time/div(second),500E-06
Delay(second),-2.45E-03
Delta(second),500E-09
Acquisition Mode,Normal
Trigger Address,100
CH1 Display,On
CH2 Display,On
CH3 Display,On
CH4 Display,Off
CH1 Volt/div,10.0E+00
CH2 Volt/div,200E-03
CH3 Volt/div,200E-03
CH4 Volt/div,2.00E+00
CH1 Offset,-36.4E+00
CH2 Offset,48.0E-03
CH3 Offset,0.00E+00
CH4 Offset,-2.36E+00
CH1 Coupling,DC1M
CH2 Coupling,AC1M
CH3 Coupling,AC1M
CH4 Coupling,AC1M
CH1 Bandwidth,20MHz
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,10001
Ch1 V,Ch2 V,Ch3 V,Ch4 V
3.26E+01,3.32E-02,6.87E-02,
3.26E+01,2.70E-02,7.50E-02,
3.26E+01,2.70E-02,7.50E-02,
3.26E+01,2.70E-02,7.50E-02,
3.26E+01,2.70E-02,6.87E-02,
3.26E+01,3.32E-02,6.87E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,2.70E-02,6.87E-02,
3.26E+01,2.70E-02,6.87E-02,
3.26E+01,2.07E-02,6.87E-02,
3.26E+01,2.07E-02,6.87E-02,
3.26E+01,2.07E-02,6.87E-02,
3.26E+01,2.07E-02,6.87E-02,
3.26E+01,2.07E-02,5.62E-02,
3.26E+01,1.45E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,4.57E-02,3.12E-02,
3.26E+01,4.57E-02,3.12E-02,
3.26E+01,4.57E-02,3.12E-02,
3.26E+01,4.57E-02,3.75E-02,
3.26E+01,4.57E-02,3.75E-02,
3.26E+01,4.57E-02,4.37E-02,
3.26E+01,5.20E-02,4.37E-02,
3.26E+01,5.20E-02,5.62E-02,
3.26E+01,4.57E-02,5.62E-02,
3.26E+01,5.20E-02,5.62E-02,
3.26E+01,4.57E-02,5.00E-02,
3.26E+01,5.20E-02,4.37E-02,
3.26E+01,4.57E-02,5.00E-02,
3.26E+01,4.57E-02,4.37E-02,
3.26E+01,4.57E-02,3.12E-02,
3.26E+01,4.57E-02,2.50E-02,
3.26E+01,4.57E-02,3.12E-02,
3.26E+01,3.95E-02,2.50E-02,
3.26E+01,3.95E-02,2.50E-02,
3.26E+01,3.95E-02,3.12E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.00E-02,
3.29E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,4.57E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,4.57E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,4.57E-02,5.00E-02,
3.26E+01,4.57E-02,4.37E-02,
3.26E+01,4.57E-02,3.75E-02,
3.26E+01,4.57E-02,3.12E-02,
3.26E+01,4.57E-02,3.12E-02,
3.26E+01,4.57E-02,2.50E-02,
3.26E+01,4.57E-02,3.12E-02,
3.26E+01,4.57E-02,3.75E-02,
3.29E+01,4.57E-02,4.37E-02,
3.26E+01,4.57E-02,4.37E-02,
3.26E+01,4.57E-02,5.00E-02,
3.26E+01,4.57E-02,5.00E-02,
3.29E+01,3.95E-02,5.62E-02,
3.26E+01,4.57E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.29E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,4.37E-02,
3.29E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.29E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,4.37E-02,
3.29E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.29E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,3.32E-02,3.12E-02,
3.26E+01,3.32E-02,3.75E-02,
3.29E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.29E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.29E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.29E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.12E-02,
3.26E+01,3.95E-02,3.12E-02,
3.26E+01,3.95E-02,3.12E-02,
3.26E+01,3.32E-02,3.12E-02,
3.26E+01,3.32E-02,3.75E-02,
3.29E+01,3.32E-02,4.37E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,2.70E-02,3.12E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.07E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.07E-02,5.62E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.07E-02,5.62E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.07E-02,3.75E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.29E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.07E-02,3.75E-02,
3.26E+01,2.07E-02,3.75E-02,
3.29E+01,1.45E-02,3.12E-02,
3.26E+01,1.45E-02,3.12E-02,
3.26E+01,2.07E-02,2.50E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,2.07E-02,3.75E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,3.95E-02,3.12E-02,
3.26E+01,3.95E-02,3.12E-02,
3.26E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,3.75E-02,
3.29E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,4.57E-02,6.25E-02,
3.29E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,4.37E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.00E-02,
3.26E+01,4.57E-02,5.00E-02,
3.26E+01,4.57E-02,5.00E-02,
3.26E+01,3.95E-02,6.25E-02,
3.29E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,6.87E-02,
3.26E+01,3.95E-02,6.87E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.29E+01,3.32E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.29E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.29E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,3.12E-02,
3.26E+01,2.70E-02,3.12E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,3.12E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,3.75E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,4.37E-02,
3.29E+01,3.32E-02,4.37E-02,
3.26E+01,3.32E-02,3.75E-02,
3.26E+01,3.32E-02,3.12E-02,
3.26E+01,3.32E-02,3.12E-02,
3.26E+01,3.32E-02,3.12E-02,
3.26E+01,3.32E-02,3.12E-02,
3.29E+01,3.32E-02,3.12E-02,
3.29E+01,3.95E-02,3.75E-02,
3.26E+01,3.95E-02,4.37E-02,
3.29E+01,3.95E-02,5.00E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,5.62E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,4.57E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.29E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.29E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.32E-02,4.37E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.29E+01,3.32E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.29E+01,3.95E-02,6.87E-02,
3.26E+01,3.32E-02,6.87E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.95E-02,6.25E-02,
3.26E+01,3.32E-02,6.25E-02,
3.29E+01,3.32E-02,5.62E-02,
3.29E+01,3.32E-02,5.00E-02,
3.29E+01,3.32E-02,4.37E-02,
3.29E+01,3.32E-02,4.37E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,2.70E-02,6.25E-02,
3.29E+01,2.70E-02,6.25E-02,
3.26E+01,2.70E-02,5.62E-02,
3.29E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,4.37E-02,
3.26E+01,2.07E-02,3.75E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,1.45E-02,3.75E-02,
3.26E+01,1.45E-02,2.50E-02,
3.26E+01,1.45E-02,2.50E-02,
3.26E+01,1.45E-02,3.12E-02,
3.26E+01,1.45E-02,3.75E-02,
3.26E+01,1.45E-02,3.75E-02,
3.26E+01,1.45E-02,4.37E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,1.45E-02,3.75E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,1.45E-02,3.12E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,2.07E-02,3.12E-02,
3.26E+01,1.45E-02,3.75E-02,
3.26E+01,1.45E-02,5.00E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.29E+01,2.70E-02,5.00E-02,
3.26E+01,2.70E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,3.32E-02,5.00E-02,
3.29E+01,3.32E-02,5.00E-02,
3.29E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,6.87E-02,
3.26E+01,3.32E-02,7.50E-02,
3.26E+01,3.32E-02,7.50E-02,
3.29E+01,3.32E-02,8.12E-02,
3.26E+01,3.32E-02,7.50E-02,
3.26E+01,3.95E-02,7.50E-02,
3.26E+01,3.32E-02,7.50E-02,
3.26E+01,3.32E-02,7.50E-02,
3.26E+01,3.32E-02,6.25E-02,
3.29E+01,3.32E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,3.32E-02,5.00E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,3.32E-02,5.62E-02,
3.26E+01,2.70E-02,5.62E-02,
3.26E+01,3.32E-02,6.87E-02,
3.26E+01,2.70E-02,6.87E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,2.70E-02,6.25E-02,
3.26E+01,2.07E-02,5.62E-02,
3.26E+01,2.07E-02,5.00E-02,
3.26E+01,2.07E-02,4.37E-02,
3.26E+01,2.07E-02,3.75E-02,
3.26E+01,1.45E-02,3.75E-02,
3.26E+01,1.45E-02,3.12E-02,
3.26E+01,1.45E-02,3.12E-02,
3.26E+01,1.45E-02,3.12E-02,
3.26E+01,1.45E-02,3.75E-02,
3.26E+01,1.45E-02,3.75E-02,
3.26E+01,8.25E-03,4.37E-02,
3.26E+01,1.45E-02,4.37E-02,
3.26E+01,1.45E-02,4.37E-02,
3.26E+01,1.45E-02,5.00E-02,
3.26E+01,1.45E-02,5.00E-02,
3.26E+01,1.45E-02,5.00E-02,
3.26E+01,1.45E-02,5.00E-02,
3.26E+01,1.45E-02,5.00E-02,
